,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,4lsYKVpwkf5J2W55oIfLYk,Juicebox,Jumping Off the Moon,Mac Ayres,False,44,0.626,0.686,0,-5.488,0,0.125,0.161,5.65e-05,0.586,0.482,80.594,audio_features,spotify:track:4lsYKVpwkf5J2W55oIfLYk,https://api.spotify.com/v1/tracks/4lsYKVpwkf5J2W55oIfLYk,https://api.spotify.com/v1/audio-analysis/4lsYKVpwkf5J2W55oIfLYk,4.8148,4
1,53SIeTHgXuAOd98hZWV2wD,"- Ugh, those feels again",Find Someone Like You,Snoh Aalegra,True,64,0.531,0.483,6,-9.729,0,0.0467,0.763,1.58e-06,0.16,0.414,84.814,audio_features,spotify:track:53SIeTHgXuAOd98hZWV2wD,https://api.spotify.com/v1/tracks/53SIeTHgXuAOd98hZWV2wD,https://api.spotify.com/v1/audio-analysis/53SIeTHgXuAOd98hZWV2wD,3.4410833333333333,4
2,2VqKx3HH8gaZPabNWYvksy,"- Ugh, those feels again",I Want You Around,Snoh Aalegra,True,70,0.705,0.433,4,-9.706,1,0.204,0.388,0.134,0.0841,0.602,168.006,audio_features,spotify:track:2VqKx3HH8gaZPabNWYvksy,https://api.spotify.com/v1/tracks/2VqKx3HH8gaZPabNWYvksy,https://api.spotify.com/v1/audio-analysis/2VqKx3HH8gaZPabNWYvksy,3.54645,4
3,5Llj7L242grS200b1qEepJ,Juicebox,Summertime - Live,Mac Ayres,True,42,0.382,0.595,11,-7.52,0,0.0633,0.234,0.0,0.097,0.179,119.838,audio_features,spotify:track:5Llj7L242grS200b1qEepJ,https://api.spotify.com/v1/tracks/5Llj7L242grS200b1qEepJ,https://api.spotify.com/v1/audio-analysis/5Llj7L242grS200b1qEepJ,3.57715,4
4,5qz1YfTCQCrgDdSbIBokLZ,Juicebox,Saving,Mac Ayres,False,39,0.445,0.595,11,-6.525,0,0.0882,0.523,0.0,0.353,0.446,163.806,audio_features,spotify:track:5qz1YfTCQCrgDdSbIBokLZ,https://api.spotify.com/v1/tracks/5qz1YfTCQCrgDdSbIBokLZ,https://api.spotify.com/v1/audio-analysis/5qz1YfTCQCrgDdSbIBokLZ,3.7048,4
5,2NCBjlH7FHEG7hXcnvUaWA,Stereo,Ugotme,Omar Apollo,False,64,0.782,0.494,0,-1.458,1,0.0339,0.454,6.31e-05,0.134,0.401,65.832,audio_features,spotify:track:2NCBjlH7FHEG7hXcnvUaWA,https://api.spotify.com/v1/tracks/2NCBjlH7FHEG7hXcnvUaWA,https://api.spotify.com/v1/audio-analysis/2NCBjlH7FHEG7hXcnvUaWA,2.1212166666666668,4
6,1wz7B02oOtrTW6SNLG0cSk,Edition,Edition,Rex Orange County,True,64,0.86,0.332,1,-10.263,1,0.22,0.807,0.0,0.106,0.26,140.949,audio_features,spotify:track:1wz7B02oOtrTW6SNLG0cSk,https://api.spotify.com/v1/tracks/1wz7B02oOtrTW6SNLG0cSk,https://api.spotify.com/v1/audio-analysis/1wz7B02oOtrTW6SNLG0cSk,1.9166666666666667,4
7,18gcopzbu2DjQjR2DI5pE8,Aromanticism,Plastic,Moses Sumney,False,56,0.288,0.215,11,-13.12,1,0.0628,0.969,0.0181,0.0957,0.137,75.774,audio_features,spotify:track:18gcopzbu2DjQjR2DI5pE8,https://api.spotify.com/v1/tracks/18gcopzbu2DjQjR2DI5pE8,https://api.spotify.com/v1/audio-analysis/18gcopzbu2DjQjR2DI5pE8,3.1426166666666666,5
8,3xzAbYFelfFdMUC9St64ga,Tomorrow,Idea,"The O'My's, Chance the Rapper",False,37,0.609,0.619,3,-7.189,1,0.188,0.0539,0.00146,0.0888,0.169,168.255,audio_features,spotify:track:3xzAbYFelfFdMUC9St64ga,https://api.spotify.com/v1/tracks/3xzAbYFelfFdMUC9St64ga,https://api.spotify.com/v1/audio-analysis/3xzAbYFelfFdMUC9St64ga,3.9428666666666667,4
9,4euUrg7nRMCM4cd7QK9wQW,Above Ground,Summer Jam,The O'My's,False,14,0.578,0.417,8,-7.765,1,0.0416,0.744,0.00417,0.189,0.101,113.018,audio_features,spotify:track:4euUrg7nRMCM4cd7QK9wQW,https://api.spotify.com/v1/tracks/4euUrg7nRMCM4cd7QK9wQW,https://api.spotify.com/v1/audio-analysis/4euUrg7nRMCM4cd7QK9wQW,3.6329666666666665,4
